ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,15632,2011-03-10,,,R,,,,002
030302,15722,2004-04-14,2012-12-31,cessazione f.a.,A,,,,007
030302,15722,2013-01-01,,,R,,,,007
030302,15774,2007-05-30,,,R,,,,001
030302,15777,2005-09-30,2010-04-13,cessazione f.a.,R,,,,002
030302,15777,2010-04-14,,,G,,,,002
030302,15866,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,15866,2010-03-01,,,R,,,,011
030302,15943,2002-01-01,2012-12-31,cessazione f.a.,A,,,,004
030302,15943,2013-01-01,,,R,,,,004
030302,15944,1999-02-01,,,G,,,,004
030302,15967,2005-02-01,,,G,,,,011
030302,16072,1999-05-01,,,G,,,,003
030302,16080,2004-04-14,2012-12-31,cessazione f.a.,A,,,,007
030302,16097,2010-10-29,,,G,,,,011
030302,16098,2001-03-05,2012-02-09,cessazione f.a.,A,,,,010
030302,16098,2012-02-10,,,R,,,,010
030302,16334,2002-01-01,2012-12-31,cessazione f.a.,A,,,,004
030302,16334,2013-01-01,,,R,,,,004
030302,16386,2004-10-01,2012-04-14,cessazione f.a.,A,,,,003
030302,16386,2012-04-15,,,R,,,,003
030302,16484,2006-01-01,,,R,,,,006
030302,16538,2005-07-01,,,G,,,,011
030302,16748,2005-07-01,,,G,,,,011
030302,16750,1999-04-30,,,G,,,,004
030302,16759,2007-01-10,,,R,,,,002
030302,16861,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,16861,2012-12-31,,,G,,,,010
030302,16870,2007-04-18,,,R,,,,001
030302,16874,2011-01-01,,,R,,,,012
030302,16919,2006-12-29,,,R,,,,001
030302,16943,1999-07-01,,,G,,,,009
030302,17134,2003-02-01,2011-03-09,cessazione f.a.,A,,,,002
030302,17134,2011-03-10,,,R,,,,002
030302,17135,2002-03-01,2012-12-31,cessazione f.a.,A,,,,012
030302,17135,2013-01-01,,,R,,,,012
030302,17281,2005-10-03,,,G,,,,011
030302,17284,2004-05-01,2009-02-01,cessazione f.a.,A,,,,003
030302,17284,2009-02-02,,,R,,,,003
030302,17442,2004-10-01,,,G,,,,010
030302,17503,2006-07-24,,,G,,,,004
030302,17720,2002-03-01,2012-12-31,cessazione f.a.,A,,,,012
030302,17720,2013-01-01,,,R,,,,012
030302,17846,2005-01-28,,,G,,,,005
030302,18064,2006-12-27,,,R,,,,007
030302,18069,2007-09-01,,,R,,,,008
030302,18078,2006-09-22,,,R,,,,004
030302,18101,2007-07-18,,,R,,,,002
030302,18226,2000-03-10,,,G,,,,003
030302,18248,2005-05-01,2012-12-31,cessazione f.a.,A,,,,004
030302,18248,2013-01-01,,,R,,,,004
030302,18318,2003-05-15,2010-03-10,cessazione f.a.,A,,,,002
030302,18318,2010-03-11,,,G,,,,002
030302,18402,1999-12-31,2011-11-30,cessazione f.a.,G,,,,012
030302,18554,2008-12-29,,,G,,,,012
030302,18779,2005-05-03,,,G,,,,009
030302,18880,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,18880,2012-12-31,,,G,,,,010
030302,18990,2005-07-01,,,G,,,,011
030302,19396,1998-02-01,,,G,,,,011
030302,19805,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,19805,2012-12-31,,,G,,,,010
030302,19909,2007-05-23,,,R,,,,004
030302,19920,2006-07-24,,,G,,,,004
030302,19976,2010-02-01,,,G,,,,004
030302,20511,2005-09-24,,,R,,,,004
030302,21069,2007-12-15,,,R,,,,001
030302,21103,2006-08-01,,,R,,,,006
030302,21169,2003-07-01,2012-12-31,cessazione f.a.,A,,,,004
030302,21169,2013-01-01,,,R,,,,004
030302,21369,2010-05-17,,,G,,,,009
030302,21521,2008-03-03,,,G,,,,012
030302,21600,1998-02-01,,,G,,,,011
030302,21601,2006-12-27,,,G,,,,005
030302,21652,1999-12-01,,,G,,,,003
030302,21728,2005-09-24,,,R,,,,004
030302,21730,2004-02-16,,,G,,,,009
030302,21748,2006-01-01,,,R,,,,006
030302,21760,2005-01-28,,,G,,,,005
030302,22128,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,22128,2010-12-31,,,R,,,,003
030302,22159,2008-08-28,,,R,,,,002
030302,22189,2006-02-08,,,R,,,,001
030302,22264,2005-09-24,,,R,,,,004
030302,22268,2007-10-01,,,G,,,,003
030302,22269,2008-12-31,,,G,,,,009
030302,22274,2007-09-01,,,R,,,,012
030302,22367,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,22367,2009-01-01,,,R,,,,008
030302,22531,2002-01-01,,,A,,,,005
030302,22791,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,22791,2010-03-01,,,R,,,,011
030302,22858,2007-06-15,,,R,,,,003
030302,22876,2002-03-01,2012-12-31,cessazione f.a.,A,,,,012
030302,22876,2013-01-01,,,R,,,,012
030302,22935,2007-09-01,,,R,,,,012
030302,22939,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,22939,2010-03-01,,,R,,,,011
030302,23179,2002-01-01,,,A,,,,005
030302,23262,2004-06-10,2012-12-31,cessazione f.a.,A,,,,007
030302,23262,2013-01-01,,,R,,,,007
030302,23399,2007-10-17,,,R,,,,011
030302,23404,2010-03-01,,,R,,,,011
030302,23487,1998-02-01,,,G,,,,011
030302,23524,2005-03-14,,,G,,,,012
030302,23647,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,23647,2009-01-01,,,R,,,,008
030302,23835,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,23835,2009-01-01,,,R,,,,008
