ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,39032,2003-11-01,2010-12-30,cessazione f.a.,A,,,,003
030302,39032,2010-12-31,,,R,,,,003
030302,39041,2007-07-16,,,G,,,,007
030302,39042,2005-05-01,2012-12-31,cessazione f.a.,A,,,,012
030302,39042,2013-01-01,,,R,,,,012
030302,39043,2006-04-28,,,R,,,,001
030302,39045,2000-03-10,,,G,,,,003
030302,39046,2006-12-20,,,G,,,,010
030302,39048,2007-10-01,,,R,,,,009
030302,39051,2005-03-01,,,G,,,,011
030302,43321,2005-05-01,2011-10-31,cessazione f.a.,A,,,,004
030302,43798,2009-06-27,2010-12-15,cessazione f.a.,A,,,,004
030302,43798,2010-12-16,,,G,,,,004
030302,43998,2011-04-26,,,A,,,,005
030302,44163,2006-12-20,,,G,,,,010
030302,44181,2006-09-22,,,R,,,,004
030302,44394,2013-01-01,,,G,,,,004
030302,44698,2013-01-01,,,G,,,,004
030302,44904,2011-01-01,,,G,,,,004
030302,45283,2011-01-01,,,R,,,,006
030302,45469,2008-12-31,,,G,,,,011
030302,45525,2010-02-01,,,G,,,,003
030302,45565,2013-01-01,,,G,,,,001
030302,45804,2011-01-01,,,G,,,,010
030302,45824,2011-01-01,,,G,,,,004
030302,46240,2010-03-29,2010-04-13,cessazione f.a.,R,,,,002
030302,46240,2010-04-14,,,G,,,,002
030302,46326,2011-01-01,,,G,,,,011
030302,46388,2010-02-01,,,G,,,,002
030302,46406,2009-10-12,2012-12-31,cessazione f.a.,A,,,,004
030302,46406,2013-01-01,,,R,,,,004
030302,46474,2013-01-01,,,R,,,,004
030302,47140,2011-01-01,,,G,,,,002
030302,47333,2007-09-01,,,R,,,,008
030302,47359,2010-04-01,2010-12-15,cessazione f.a.,A,,,,004
030302,47359,2010-12-16,,,G,,,,004
030302,47395,2010-05-17,,,G,,,,008
030302,47526,2007-10-01,,,R,,,,009
030302,47738,2011-01-01,,,G,,,,011
030302,47764,2010-10-29,,,G,,,,011
030302,47835,2005-12-22,,,R,,,,006
030302,47836,2013-01-01,,,R,,,,012
030302,47874,2010-10-29,,,G,,,,011
030302,48100,2013-01-01,,,G,,,,001
030302,48149,2013-01-01,,,R,,,,011
030302,48361,2013-01-01,,,R,,,,004
030302,48428,2011-08-31,,,G,,,,009
030302,48537,2011-12-01,,,G,,,,005
030302,48779,,,,G,,,,005
030302,48861,2013-01-01,,,G,,,,004
